dataset,classifier,oversampling,AUC,rank
yeast_me2,MLP,TVAE,0.7578,7
yeast_me2,MLP,CTAB-GAN+,0.7346,8
mammography,RF,SMOTE,0.97,1
mammography,RF,G-SMOTE,0.9689,2
mammography,RF,ADASYN,0.9648,3
mammography,RF,TVAE,0.961,4
mammography,RF,G-CTGAN,0.9542,5
mammography,RF,CTGAN,0.9533,6
mammography,RF,CTAB-GAN+,0.9493,7
mammography,LGBM,SMOTE,0.9773,1
mammography,LGBM,ADASYN,0.9593,2
mammography,LGBM,TVAE,0.9591,3
mammography,LGBM,CTGAN,0.959,4
mammography,LGBM,G-SMOTE,0.9581,5
mammography,LGBM,G-CTGAN,0.9518,6
mammography,MLP,TVAE,0.9737,1
mammography,MLP,CTGAN,0.9697,2
mammography,MLP,CTAB-GAN+,0.9657,3
mammography,MLP,G-CTGAN,0.9538,4
mammography,MLP,SMOTE,0.9413,5
mammography,MLP,ADASYN,0.9303,6
mammography,MLP,G-SMOTE,0.9258,7
abalone_19,RF,G-SMOTE,0.8412,1
abalone_19,RF,ADASYN,0.8259,2
abalone_19,RF,SMOTE,0.8096,3
abalone_19,RF,G-CTGAN,0.7936,4
abalone_19,RF,TVAE,0.758,5
abalone_19,RF,CTGAN,0.752,6
abalone_19,LGBM,G-SMOTE,0.8899,1
abalone_19,LGBM,TVAE,0.8593,2
abalone_19,LGBM,SMOTE,0.8246,3
abalone_19,LGBM,CTGAN,0.8217,4
abalone_19,LGBM,ADASYN,0.8064,5
abalone_19,LGBM,G-CTGAN,0.7043,6
abalone_19,MLP,G-CTGAN,0.8538,1
abalone_19,MLP,SMOTE,0.8453,2
abalone_19,MLP,ADASYN,0.8322,3
abalone_19,MLP,G-SMOTE,0.8321,4
abalone_19,MLP,CTGAN,0.8285,5
abalone_19,MLP,TVAE,0.8174,6
wine_quality,RF,G-SMOTE,0.8549,1
wine_quality,RF,CTAB-GAN+,0.8503,2
wine_quality,RF,SMOTE,0.8467,3
wine_quality,RF,GA-G-CTGAN,0.8419,4
wine_quality,RF,ADASYN,0.8404,5
wine_quality,RF,CTGAN,0.8154,6
wine_quality,RF,TVAE,0.8148,7
wine_quality,RF,G-CTGAN,0.804,8
wine_quality,LGBM,GA-G-CTGAN,0.879,1
wine_quality,LGBM,SMOTE,0.8644,2
wine_quality,LGBM,G-CTGAN,0.856,3
wine_quality,LGBM,ADASYN,0.8548,4
wine_quality,LGBM,G-SMOTE,0.8524,5
wine_quality,LGBM,CTGAN,0.8501,6
wine_quality,LGBM,TVAE,0.8193,7
wine_quality,MLP,CTGAN,0.8283,1
wine_quality,MLP,G-CTGAN,0.8205,2
wine_quality,MLP,CTAB-GAN+,0.8088,3
wine_quality,MLP,GA-G-CTGAN,0.8082,4
wine_quality,MLP,SMOTE,0.8073,5
wine_quality,MLP,G-SMOTE,0.8067,6
wine_quality,MLP,ADASYN,0.8028,7
wine_quality,MLP,TVAE,0.7988,8
ecoli,RF,CTGAN,0.9848,1
ecoli,RF,G-CTGAN,0.9798,2
ecoli,RF,CTAB-GAN+,0.9737,3
ecoli,RF,TVAE,0.9707,4
ecoli,RF,GA-G-CTGAN,0.9697,5
ecoli,RF,SMOTE,0.9566,6
ecoli,RF,G-SMOTE,0.9566,7
ecoli,RF,ADASYN,0.9545,8
ecoli,LGBM,G-CTGAN,0.9707,1
ecoli,LGBM,GA-G-CTGAN,0.9687,2
ecoli,LGBM,TVAE,0.9646,3
ecoli,LGBM,CTGAN,0.9646,4
ecoli,LGBM,ADASYN,0.9515,5
ecoli,LGBM,G-SMOTE,0.9485,6
ecoli,LGBM,SMOTE,0.9283,7
ecoli,MLP,CTGAN,0.9596,1
ecoli,MLP,CTAB-GAN+,0.9414,2
ecoli,MLP,G-CTGAN,0.9414,3
ecoli,MLP,GA-G-CTGAN,0.9131,4
ecoli,MLP,TVAE,0.9101,5
ecoli,MLP,ADASYN,0.901,6
ecoli,MLP,G-SMOTE,0.9,7
ecoli,MLP,SMOTE,0.898,8
pageblocks,RF,ADASYN,0.9976,1
pageblocks,RF,G-SMOTE,0.9972,2
pageblocks,RF,SMOTE,0.9971,3
pageblocks,RF,TVAE,0.9968,4
pageblocks,RF,CTAB-GAN+,0.9963,5
pageblocks,RF,CTGAN,0.9962,6
pageblocks,RF,G-CTGAN,0.9961,7
pageblocks,LGBM,G-CTGAN,0.9989,1
pageblocks,LGBM,CTGAN,0.9965,2
pageblocks,LGBM,G-SMOTE,0.9964,3
pageblocks,LGBM,ADASYN,0.9964,4
pageblocks,LGBM,TVAE,0.9964,5
pageblocks,LGBM,SMOTE,0.9961,6
pageblocks,MLP,SMOTE,0.9987,1
pageblocks,MLP,ADASYN,0.9985,2
pageblocks,MLP,G-SMOTE,0.9984,3
pageblocks,MLP,CTGAN,0.9965,4
pageblocks,MLP,TVAE,0.9962,5
pageblocks,MLP,CTAB-GAN+,0.9959,6
pageblocks,MLP,G-CTGAN,0.9957,7
protein_homo,RF,G-SMOTE,0.9952,1
protein_homo,RF,SMOTE,0.9951,2
protein_homo,RF,ADASYN,0.9937,3
protein_homo,RF,TVAE,0.9817,4
protein_homo,RF,G-CTGAN,0.9729,5
protein_homo,RF,CTGAN,0.9714,6
protein_homo,LGBM,SMOTE,0.996,1
protein_homo,LGBM,ADASYN,0.996,2
protein_homo,LGBM,G-SMOTE,0.9957,3
protein_homo,LGBM,CTGAN,0.9908,4
protein_homo,LGBM,TVAE,0.9888,5
protein_homo,LGBM,G-CTGAN,0.9888,6
protein_homo,MLP,G-CTGAN,0.996,1
protein_homo,MLP,G-SMOTE,0.9946,2
protein_homo,MLP,ADASYN,0.9945,3
protein_homo,MLP,TVAE,0.9944,4
protein_homo,MLP,SMOTE,0.9935,5
protein_homo,MLP,CTGAN,0.9933,6
