dataset,oversampling,classifier,n_train_resampled,minority_ratio,oversample_time,train_time,AUC,F1,Precision,Recall
ecoli,CTGAN,MLP,422,0.5,1.5,0.83,0.9596,0.7407,0.625,0.9091
ecoli,TVAE,RF,422,0.5,0.73,0.19,0.9707,0.7619,0.8,0.7273
ecoli,TVAE,LGBM,422,0.5,0.73,0.04,0.9646,0.7619,0.8,0.7273
ecoli,TVAE,MLP,422,0.5,0.73,0.51,0.9101,0.6923,0.6,0.8182
pageblocks,None,RF,3831,0.0052,0.0,0.22,0.9989,0.64,0.4706,1.0
pageblocks,None,LGBM,3831,0.0052,0.0,0.04,0.9993,0.6667,0.5,1.0
pageblocks,None,MLP,3831,0.0052,0.0,1.38,0.9978,0.5455,0.4286,0.75
pageblocks,SMOTE,RF,7622,0.5,0.0,0.3,0.9971,0.4211,0.3636,0.5
pageblocks,SMOTE,LGBM,7622,0.5,0.0,0.06,0.9961,0.4211,0.3636,0.5
pageblocks,SMOTE,MLP,7622,0.5,0.0,1.81,0.9987,0.6154,0.4444,1.0
pageblocks,ADASYN,RF,7623,0.5001,0.01,0.27,0.9976,0.4444,0.4,0.5
pageblocks,ADASYN,LGBM,7623,0.5001,0.01,0.05,0.9964,0.5,0.4167,0.625
pageblocks,ADASYN,MLP,7623,0.5001,0.01,2.2,0.9985,0.5926,0.4211,1.0
pageblocks,G-SMOTE,RF,30488,0.875,0.41,0.71,0.9972,0.4444,0.4,0.5
pageblocks,G-SMOTE,LGBM,30488,0.875,0.41,0.07,0.9964,0.381,0.3077,0.5
pageblocks,G-SMOTE,MLP,30488,0.875,0.41,3.63,0.9984,0.5926,0.4211,1.0
pageblocks,CTGAN,RF,7622,0.5,1.62,0.29,0.9962,0.4545,0.3571,0.625
pageblocks,CTGAN,LGBM,7622,0.5,1.62,0.07,0.9965,0.5926,0.4211,1.0
pageblocks,CTGAN,MLP,7622,0.5,1.62,2.66,0.9965,0.56,0.4118,0.875
pageblocks,TVAE,RF,7622,0.5,1.09,0.28,0.9968,0.6154,0.4444,1.0
pageblocks,TVAE,LGBM,7622,0.5,1.09,0.06,0.9964,0.64,0.4706,1.0
pageblocks,TVAE,MLP,7622,0.5,1.09,2.94,0.9962,0.5217,0.4,0.75
protein_homo,None,RF,102025,0.0089,0.01,4.57,0.9952,0.8468,0.8479,0.8458
protein_homo,None,LGBM,102025,0.0089,0.01,0.51,0.9976,0.7071,0.5712,0.928
protein_homo,None,MLP,102025,0.0089,0.01,34.67,0.9948,0.8626,0.9162,0.8149
protein_homo,SMOTE,RF,202236,0.5,0.16,17.66,0.9951,0.7245,0.6052,0.9023
protein_homo,SMOTE,LGBM,202236,0.5,0.16,0.93,0.996,0.6197,0.4652,0.928
protein_homo,SMOTE,MLP,202236,0.5,0.16,54.79,0.9935,0.8059,0.7762,0.838
protein_homo,ADASYN,RF,202190,0.4999,0.24,15.97,0.9937,0.4523,0.2985,0.9332
protein_homo,ADASYN,LGBM,202190,0.4999,0.24,0.91,0.996,0.4577,0.3019,0.946
protein_homo,ADASYN,MLP,202190,0.4999,0.24,36.68,0.9945,0.8433,0.8568,0.8303
protein_homo,G-SMOTE,RF,303354,0.6667,1.92,32.1,0.9952,0.7652,0.6699,0.892
protein_homo,G-SMOTE,LGBM,303354,0.6667,1.92,1.13,0.9957,0.666,0.5252,0.91
protein_homo,G-SMOTE,MLP,303354,0.6667,1.92,194.99,0.9946,0.8299,0.832,0.8278
protein_homo,CTGAN,RF,202236,0.5,29.31,16.61,0.9714,0.8095,0.9611,0.6992
protein_homo,CTGAN,LGBM,202236,0.5,29.31,0.8,0.9908,0.8163,0.8981,0.7481
protein_homo,CTGAN,MLP,202236,0.5,29.31,63.01,0.9933,0.8464,0.9266,0.7789
protein_homo,TVAE,RF,202236,0.5,20.01,17.58,0.9817,0.7093,0.6476,0.7841
protein_homo,TVAE,LGBM,202236,0.5,20.01,0.86,0.9888,0.7515,0.7173,0.7892
protein_homo,TVAE,MLP,202236,0.5,20.01,76.27,0.9944,0.8186,0.8721,0.7712
