dataset,oversampling,classifier,AUC
yeast_me2,TVAE,RF,0.9430099612139523
abalone_19,FF-SMOTE,LGBM,0.7402633683070038
abalone_19,FF-SMOTE,MLP,0.6996905693491398
abalone_19,FF-SMOTE,RF,0.752757207501964
credit_default,FF-SMOTE,LGBM,0.7613128679530085
credit_default,FF-SMOTE,MLP,0.6631609616467511
credit_default,FF-SMOTE,RF,0.7501635336261998
ecoli,FF-SMOTE,LGBM,0.946142178362573
ecoli,FF-SMOTE,MLP,0.8975012183235866
ecoli,FF-SMOTE,RF,0.943301656920078
fraud_detection,FF-SMOTE,LGBM,0.9806181152787407
fraud_detection,FF-SMOTE,MLP,0.9627164224379084
fraud_detection,FF-SMOTE,RF,0.9838423433455101
ibm_attrition,FF-SMOTE,LGBM,0.8081262163782374
ibm_attrition,FF-SMOTE,MLP,0.7555721532751549
ibm_attrition,FF-SMOTE,RF,0.8221099527140072
mammography,FF-SMOTE,LGBM,0.9151443419940384
mammography,FF-SMOTE,MLP,0.9166586492117869
mammography,FF-SMOTE,RF,0.9318691187868048
pageblocks,FF-SMOTE,LGBM,0.9659412304866851
pageblocks,FF-SMOTE,MLP,0.9988593000714211
pageblocks,FF-SMOTE,RF,0.9992327313539434
pima_diabetes,FF-SMOTE,LGBM,0.8036366177498252
pima_diabetes,FF-SMOTE,MLP,0.7493871418588399
pima_diabetes,FF-SMOTE,RF,0.8141313766596785
protein_homo,FF-SMOTE,LGBM,0.9913706078489228
protein_homo,FF-SMOTE,MLP,0.9901302733499613
protein_homo,FF-SMOTE,RF,0.9903185985336137
wine_quality,FF-SMOTE,LGBM,0.8180188141481886
wine_quality,FF-SMOTE,MLP,0.7047630875838723
wine_quality,FF-SMOTE,RF,0.8225822322853077
yeast_me2,FF-SMOTE,LGBM,0.9397134572744328
yeast_me2,FF-SMOTE,MLP,0.8656758319286035
yeast_me2,FF-SMOTE,RF,0.9309393488994375
credit_default,CTAB-GAN+,MLP,0.6945516171619704
credit_default,CTAB-GAN+,RF,0.76823053852132
ecoli,CTAB-GAN+,MLP,0.9199652777777778
ecoli,CTAB-GAN+,RF,0.9486531432748538
mammography,CTAB-GAN+,MLP,0.9449735675856739
mammography,CTAB-GAN+,RF,0.939489253265657
pageblocks,CTAB-GAN+,MLP,0.9982103866952352
pageblocks,CTAB-GAN+,RF,0.9989950005101521
pima_diabetes,CTAB-GAN+,MLP,0.7648029350104821
pima_diabetes,CTAB-GAN+,RF,0.8307658979734451
wine_quality,CTAB-GAN+,MLP,0.8146392415745545
wine_quality,CTAB-GAN+,RF,0.844067237969677
yeast_me2,CTAB-GAN+,MLP,0.8824015452396828
yeast_me2,CTAB-GAN+,RF,0.9373443186525228
abalone_19,GA-G-CTGAN,LGBM,0.7213523438285372
abalone_19,GA-G-CTGAN,MLP,0.7324121233008045
abalone_19,GA-G-CTGAN,RF,0.7533857812342926
credit_default,GA-G-CTGAN,LGBM,0.7847289776189527
credit_default,GA-G-CTGAN,MLP,0.7007299653828318
credit_default,GA-G-CTGAN,RF,0.7727776210185573
ecoli,GA-G-CTGAN,LGBM,0.9554392056530214
ecoli,GA-G-CTGAN,MLP,0.9377083333333334
ecoli,GA-G-CTGAN,RF,0.9561799463937621
fraud_detection,GA-G-CTGAN,LGBM,0.9772740575612641
fraud_detection,GA-G-CTGAN,MLP,0.9638952632712069
fraud_detection,GA-G-CTGAN,RF,0.9760836933006383
ibm_attrition,GA-G-CTGAN,LGBM,0.8103893758487072
ibm_attrition,GA-G-CTGAN,MLP,0.7584925903204247
ibm_attrition,GA-G-CTGAN,RF,0.8057875647130146
mammography,GA-G-CTGAN,LGBM,0.948819733924469
mammography,GA-G-CTGAN,MLP,0.9535057708749621
mammography,GA-G-CTGAN,RF,0.9410985319614962
pageblocks,GA-G-CTGAN,LGBM,0.9992011019283747
pageblocks,GA-G-CTGAN,MLP,0.9988593000714213
pageblocks,GA-G-CTGAN,RF,0.9994245485154577
pima_diabetes,GA-G-CTGAN,LGBM,0.8221055206149546
pima_diabetes,GA-G-CTGAN,MLP,0.7780006988120196
pima_diabetes,GA-G-CTGAN,RF,0.8334374563242488
protein_homo,GA-G-CTGAN,LGBM,0.9916128140017932
protein_homo,GA-G-CTGAN,MLP,0.9927416006849048
protein_homo,GA-G-CTGAN,RF,0.986429509943753
wine_quality,GA-G-CTGAN,LGBM,0.8651908005566542
wine_quality,GA-G-CTGAN,MLP,0.7853787509672981
wine_quality,GA-G-CTGAN,RF,0.8459523149873096
yeast_me2,GA-G-CTGAN,LGBM,0.9420813111500473
yeast_me2,GA-G-CTGAN,MLP,0.9012656080061845
yeast_me2,GA-G-CTGAN,RF,0.9328467319819869
abalone_19,G-CTGAN,LGBM,0.6842274868243708
abalone_19,G-CTGAN,MLP,0.7583876829974348
abalone_19,G-CTGAN,RF,0.7344854174500992
credit_default,G-CTGAN,LGBM,0.783631025262171
credit_default,G-CTGAN,MLP,0.6967451364417827
credit_default,G-CTGAN,RF,0.7721567667502962
ecoli,G-CTGAN,LGBM,0.9410794346978556
ecoli,G-CTGAN,MLP,0.9135873538011696
ecoli,G-CTGAN,RF,0.9524354288499024
fraud_detection,G-CTGAN,LGBM,0.963818762345296
fraud_detection,G-CTGAN,MLP,0.9692541016163456
fraud_detection,G-CTGAN,RF,0.9654736427352816
ibm_attrition,G-CTGAN,LGBM,0.8044078690582322
ibm_attrition,G-CTGAN,MLP,0.7554294881716153
ibm_attrition,G-CTGAN,RF,0.8019073896269153
mammography,G-CTGAN,LGBM,0.94357967452075
mammography,G-CTGAN,MLP,0.94398445181967
mammography,G-CTGAN,RF,0.9384149062519948
pageblocks,G-CTGAN,LGBM,0.9993653708805224
pageblocks,G-CTGAN,MLP,0.998132843587389
pageblocks,G-CTGAN,RF,0.9994204672992552
pima_diabetes,G-CTGAN,LGBM,0.8116415094339622
pima_diabetes,G-CTGAN,MLP,0.7574619147449336
pima_diabetes,G-CTGAN,RF,0.8212564640111809
protein_homo,G-CTGAN,LGBM,0.9843791934612606
protein_homo,G-CTGAN,MLP,0.9918582842178424
protein_homo,G-CTGAN,RF,0.972233789287197
wine_quality,G-CTGAN,LGBM,0.850633401163624
wine_quality,G-CTGAN,MLP,0.8024055869230843
wine_quality,G-CTGAN,RF,0.8197769880166487
yeast_me2,G-CTGAN,LGBM,0.9491108226584946
yeast_me2,G-CTGAN,MLP,0.8982969358800844
yeast_me2,G-CTGAN,RF,0.9384103922684854
